Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known, Known St. RG, Known St. RY, Known St. RB, Known St. GY, Known St. GB, Known St. YB, Known St. RGY, Known St. RGB, Known St. RYB, Known St. GYB, Known St. RGYB
10,0,0,0,0,8,4,23,5,8,4,4,0,0,0,10,12,12,10,0,36,4,0,0,2,0,0,0,2,0,0,0,0,0,0,

20,0,0,0,0,8,4,23,5,8,4,4,0,0,0,10,12,12,10,0,36,4,0,0,2,0,0,0,2,0,0,0,0,0,0,

30,0,0,0,0,9,4,22,5,9,4,4,0,0,0,10,12,12,10,0,36,4,0,0,2,0,0,0,2,0,0,0,0,0,0,

40,0,0,0,0,9,4,22,5,9,4,4,0,0,0,10,12,12,10,0,36,4,0,0,2,0,0,0,2,0,0,0,0,0,0,

50,0,0,0,0,9,4,21,6,9,4,4,0,0,0,10,12,12,10,0,36,4,0,0,2,0,0,0,2,0,0,0,0,0,0,

60,0,0,0,0,9,4,21,6,9,4,4,0,0,0,10,12,12,10,0,36,4,0,0,2,0,0,0,2,0,0,0,0,0,0,

70,0,0,0,0,9,4,21,6,9,4,4,0,0,0,10,12,12,10,0,36,4,0,0,2,0,0,0,2,0,0,0,0,0,0,

80,0,0,0,0,9,4,21,6,9,4,4,0,0,0,10,12,12,10,0,36,4,0,0,2,0,0,0,2,0,0,0,0,0,0,

90,0,0,0,0,9,4,21,6,9,4,4,0,0,0,10,12,12,10,0,36,4,0,0,2,0,0,0,2,0,0,0,0,0,0,

100,0,0,0,0,10,4,20,6,10,4,4,0,0,0,10,12,12,10,0,36,4,0,0,2,0,0,0,2,0,0,0,0,0,0,

110,0,0,0,0,11,4,19,6,11,4,4,0,0,0,10,12,12,10,0,36,4,0,0,2,0,0,0,2,0,0,0,0,0,0,

120,0,0,0,0,12,4,18,6,12,4,4,0,0,0,10,12,12,10,0,36,4,0,0,2,0,0,0,2,0,0,0,0,0,0,

130,0,0,0,0,13,4,17,6,13,4,4,0,0,0,10,12,12,10,0,36,4,0,0,2,0,0,0,2,0,0,0,0,0,0,

140,0,0,0,0,13,4,17,6,13,4,4,0,0,0,10,12,12,10,0,36,4,0,0,2,0,0,0,2,0,0,0,0,0,0,

150,0,0,0,0,14,4,16,6,14,4,4,0,0,0,10,12,12,10,0,36,4,0,0,2,0,0,0,2,0,0,0,0,0,0,

160,0,0,0,0,15,4,15,6,15,4,4,0,0,0,10,12,12,10,0,36,4,0,0,2,0,0,0,2,0,0,0,0,0,0,

170,0,0,0,0,17,4,12,7,17,4,4,0,0,0,10,12,12,10,0,36,4,0,0,2,0,0,0,2,0,0,0,0,0,0,

180,0,0,0,0,17,4,12,7,17,4,4,0,0,0,10,12,12,10,0,36,4,0,0,2,0,0,0,2,0,0,0,0,0,0,

190,0,0,0,0,17,4,12,7,17,4,4,0,0,0,10,12,12,10,0,36,4,0,0,2,0,0,0,2,0,0,0,0,0,0,

200,0,0,0,0,17,4,12,7,17,4,4,0,0,0,10,12,12,10,0,36,4,0,0,2,0,0,0,2,0,0,0,0,0,0,

210,0,0,0,0,18,5,10,7,18,5,5,0,0,0,10,12,13,10,0,35,5,0,0,2,0,0,1,2,0,0,0,0,0,0,

220,0,0,0,0,19,5,9,7,19,5,5,0,0,0,10,12,13,10,0,35,5,0,0,2,0,0,1,2,0,0,0,0,0,0,

230,0,0,0,0,20,5,8,7,20,5,5,0,0,0,10,12,13,10,0,35,5,0,0,2,0,0,1,2,0,0,0,0,0,0,

240,0,0,0,0,20,5,8,7,20,5,5,0,0,0,10,12,13,10,0,35,5,0,0,2,0,0,1,2,0,0,0,0,0,0,

250,0,0,0,1,20,5,8,7,20,5,5,0,0,0,10,12,13,10,0,35,5,0,0,2,0,0,1,2,0,0,0,0,0,0,

260,0,0,0,1,21,5,7,6,21,5,5,0,0,1,10,12,13,10,0,35,5,0,0,2,0,0,1,2,0,0,0,0,0,0,

270,0,0,0,1,23,5,5,6,23,5,5,0,0,1,10,12,13,10,0,35,5,0,0,2,0,0,1,2,0,0,0,0,0,0,

280,0,0,0,1,23,5,4,7,23,5,5,0,0,1,10,12,13,10,0,35,5,0,0,2,0,0,1,2,0,0,0,0,0,0,

290,0,0,0,1,23,5,4,7,23,5,5,0,0,1,10,12,13,10,0,35,5,0,0,2,0,0,1,2,0,0,0,0,0,0,

300,0,0,0,1,23,5,4,7,23,5,5,0,0,1,10,12,13,10,0,35,5,0,0,2,0,0,1,2,0,0,0,0,0,0,

310,0,0,0,1,23,6,3,7,23,6,6,0,0,1,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

320,0,0,0,1,24,6,2,7,24,6,6,0,0,1,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

330,0,0,0,1,24,6,2,7,24,6,6,0,0,1,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

340,0,0,0,1,24,6,2,7,24,6,6,0,0,1,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

350,0,0,0,1,24,6,2,7,24,6,6,0,0,1,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

360,0,0,0,1,24,6,2,7,24,6,6,0,0,1,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

370,0,0,0,1,24,6,2,7,24,6,6,0,0,1,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

380,1,0,0,1,24,6,2,6,24,6,6,0,0,2,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

390,1,0,0,1,24,6,1,7,24,6,6,0,0,2,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

400,1,0,0,1,24,6,1,7,24,6,6,0,0,2,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

410,1,0,0,1,24,6,1,7,24,6,6,0,0,2,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

420,1,0,0,1,24,6,1,7,24,6,6,0,0,2,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

430,1,0,0,1,24,6,1,7,24,6,6,0,0,2,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

440,1,0,0,1,24,6,1,7,24,6,6,0,0,2,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

450,1,0,0,1,24,6,1,7,24,6,6,0,0,2,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

460,1,0,0,1,24,6,1,7,24,6,6,0,0,2,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

470,1,0,0,1,24,6,1,7,24,6,6,0,0,2,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

480,1,0,0,1,24,6,1,7,24,6,6,0,0,2,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

490,1,0,0,1,24,6,1,7,24,6,6,0,0,2,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

500,1,0,0,1,24,6,1,7,24,6,6,0,0,2,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

510,1,0,0,1,16,2,10,10,24,6,6,0,0,2,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

520,1,0,0,1,16,2,10,10,24,6,6,0,0,2,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

530,1,0,0,1,15,2,11,10,24,6,6,0,0,2,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

540,1,0,0,1,15,2,11,10,24,6,6,0,0,2,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

550,1,0,1,1,15,2,11,10,24,6,6,0,0,2,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

560,1,0,1,1,15,2,11,9,24,6,6,0,0,3,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

570,1,0,1,1,15,2,11,9,24,6,6,0,0,3,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

580,1,0,1,1,15,2,11,9,24,6,6,0,0,3,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

590,1,0,1,1,15,2,11,9,24,6,6,0,0,3,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

600,1,0,1,1,14,2,12,9,24,6,6,0,0,3,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

610,1,0,2,1,13,2,13,8,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

620,1,0,2,1,12,2,13,8,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

630,1,0,2,1,11,2,15,8,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

640,1,0,2,1,11,2,15,8,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

650,1,0,2,1,10,2,15,8,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

660,1,0,2,1,9,2,16,8,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

670,1,0,2,1,8,2,18,8,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

680,1,0,2,1,7,2,18,9,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

690,1,0,2,1,7,2,18,9,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

700,1,0,2,1,7,2,18,9,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

710,1,0,2,1,6,1,19,10,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

720,1,0,2,1,5,1,20,10,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

730,1,0,2,1,4,1,21,10,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

740,1,0,2,1,4,1,21,10,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

750,1,0,2,1,4,1,21,10,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

760,1,0,2,1,3,1,22,10,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

770,1,0,2,1,1,1,25,10,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

780,1,0,2,1,1,1,25,10,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

790,1,0,2,1,1,1,25,10,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

800,1,0,2,1,1,1,25,10,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

810,1,0,2,1,1,0,26,10,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

820,1,0,2,1,0,0,27,10,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

830,1,0,2,1,0,0,27,10,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

840,1,0,2,1,0,0,27,10,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

850,1,0,2,1,0,0,27,10,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

860,1,0,2,1,0,0,27,10,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

870,1,0,2,1,0,0,27,10,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

880,1,0,2,1,0,0,28,10,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

890,1,0,2,1,0,0,28,10,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

900,1,0,2,1,0,0,28,10,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

910,1,1,2,1,0,0,28,10,24,6,6,0,0,4,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

920,1,1,2,1,0,0,28,9,24,6,6,0,0,5,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

930,1,1,2,1,0,0,28,9,24,6,6,0,0,5,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

940,1,1,2,1,0,0,28,9,24,6,6,0,0,5,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

950,1,1,2,1,0,0,28,9,24,6,6,0,0,5,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

960,1,1,2,1,0,0,28,9,24,6,6,0,0,5,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

970,1,1,2,1,0,0,28,9,24,6,6,0,0,5,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

980,1,1,2,1,0,0,28,9,24,6,6,0,0,5,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

990,1,1,2,1,0,0,28,9,24,6,6,0,0,5,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

1000,1,1,2,1,0,0,28,9,24,6,6,0,0,5,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

1010,1,1,2,1,0,0,28,9,24,6,6,0,0,5,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

1020,1,1,2,1,1,0,27,9,25,6,6,0,0,5,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

1030,1,1,2,1,1,0,27,9,25,6,6,0,0,5,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

1040,1,1,2,1,1,0,25,11,25,6,6,0,0,5,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

1050,1,1,2,1,1,0,25,11,25,6,6,0,0,5,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

1060,1,1,2,1,1,0,26,11,25,6,6,0,0,5,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

1070,1,1,2,1,2,0,25,11,26,6,6,0,0,5,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

1080,1,1,2,1,3,0,24,11,27,6,6,0,0,5,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

1090,1,1,2,1,3,0,24,11,27,6,6,0,0,5,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

1100,1,1,2,1,3,0,24,11,27,6,6,0,0,5,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

1110,1,1,2,1,3,0,24,12,27,6,6,0,0,5,10,12,13,11,0,34,6,0,0,2,1,0,1,2,0,0,0,0,0,0,

1120,1,1,2,1,3,1,23,12,27,7,7,0,0,5,11,12,13,11,0,33,7,0,0,2,1,1,1,2,0,0,0,0,0,0,

1130,1,1,2,1,3,1,23,12,27,7,7,0,0,5,11,12,13,11,0,33,7,0,0,2,1,1,1,2,0,0,0,0,0,0,

1140,1,1,2,1,4,1,22,12,28,7,7,0,0,5,11,12,13,11,0,33,7,0,0,2,1,1,1,2,0,0,0,0,0,0,

1150,1,1,2,1,4,1,22,12,28,7,7,0,0,5,11,12,13,11,0,33,7,0,0,2,1,1,1,2,0,0,0,0,0,0,

1160,1,1,2,1,4,1,22,12,28,7,7,0,0,5,11,12,13,11,0,33,7,0,0,2,1,1,1,2,0,0,0,0,0,0,

1170,1,1,2,1,5,1,20,13,29,7,7,0,0,5,11,12,13,11,0,33,7,0,0,2,1,1,1,2,0,0,0,0,0,0,

1180,1,1,2,1,5,1,19,14,29,7,7,0,0,5,11,12,13,11,0,33,7,0,0,2,1,1,1,2,0,0,0,0,0,0,

1190,1,1,2,1,6,1,18,14,30,7,7,0,0,5,11,12,13,11,0,33,7,0,0,2,1,1,1,2,0,0,0,0,0,0,

1200,1,1,3,1,6,1,18,13,30,7,7,0,0,6,11,12,13,11,0,33,7,0,0,2,1,1,1,2,0,0,0,0,0,0,

1210,1,1,3,1,7,1,17,13,31,7,7,0,0,6,11,12,13,11,0,33,7,0,0,2,1,1,1,2,0,0,0,0,0,0,

1220,1,1,3,1,7,1,17,13,31,7,7,0,0,6,11,12,13,11,0,33,7,0,0,2,1,1,1,2,0,0,0,0,0,0,

1230,1,2,3,1,7,1,17,13,31,7,7,0,0,6,11,12,13,11,0,33,7,0,0,2,1,1,1,2,0,0,0,0,0,0,

1240,1,2,3,1,8,1,16,12,32,7,7,0,0,7,11,12,13,11,0,33,7,0,0,2,1,1,1,2,0,0,0,0,0,0,

1250,1,2,3,1,9,1,15,12,33,7,7,0,0,7,11,12,13,11,0,33,7,0,0,2,1,1,1,2,0,0,0,0,0,0,

1260,2,2,3,1,10,2,13,12,34,8,8,0,0,7,11,12,13,12,0,32,8,0,0,2,2,1,1,2,0,0,0,0,0,0,

1270,2,2,3,1,10,2,13,11,34,8,8,0,0,8,11,12,13,12,0,32,8,0,0,2,2,1,1,2,0,0,0,0,0,0,

1280,2,2,3,1,11,2,12,11,35,8,8,0,0,8,11,12,13,12,0,32,8,0,0,2,2,1,1,2,0,0,0,0,0,0,

1290,2,2,3,1,11,2,12,11,35,8,8,0,0,8,11,12,13,12,0,32,8,0,0,2,2,1,1,2,0,0,0,0,0,0,

1300,2,2,3,1,11,2,12,11,35,8,8,0,0,8,11,12,13,12,0,32,8,0,0,2,2,1,1,2,0,0,0,0,0,0,

1310,2,2,3,1,11,2,12,11,35,8,8,0,0,8,11,12,13,12,0,32,8,0,0,2,2,1,1,2,0,0,0,0,0,0,

1320,2,2,3,1,11,2,12,11,35,8,8,0,0,8,11,12,13,12,0,32,8,0,0,2,2,1,1,2,0,0,0,0,0,0,

1330,2,2,3,1,12,2,11,11,36,8,8,0,0,8,11,12,13,12,0,32,8,0,0,2,2,1,1,2,0,0,0,0,0,0,

1340,2,2,3,1,13,2,10,11,37,8,8,0,0,8,11,12,13,12,0,32,8,0,0,2,2,1,1,2,0,0,0,0,0,0,

1350,2,2,3,1,13,2,10,11,37,8,8,0,0,8,11,12,13,12,0,32,8,0,0,2,2,1,1,2,0,0,0,0,0,0,

1360,2,2,3,1,14,2,9,11,38,8,8,0,0,8,11,12,13,12,0,32,8,0,0,2,2,1,1,2,0,0,0,0,0,0,

1370,2,2,4,1,14,2,9,11,38,8,8,0,0,8,11,12,13,12,0,32,8,0,0,2,2,1,1,2,0,0,0,0,0,0,

1380,2,2,4,1,15,2,8,10,39,8,8,0,0,9,11,12,13,12,0,32,8,0,0,2,2,1,1,2,0,0,0,0,0,0,

1390,2,2,4,1,15,2,8,10,39,8,8,0,0,9,11,12,13,12,0,32,8,0,0,2,2,1,1,2,0,0,0,0,0,0,

1400,2,2,4,1,15,2,8,10,39,8,8,0,0,9,11,12,13,12,0,32,8,0,0,2,2,1,1,2,0,0,0,0,0,0,

1410,2,2,4,1,15,2,7,11,39,8,8,0,0,9,11,12,13,12,0,32,8,0,0,2,2,1,1,2,0,0,0,0,0,0,

1420,2,2,5,1,15,2,8,10,39,8,8,0,0,10,11,12,13,12,0,32,8,0,0,2,2,1,1,2,0,0,0,0,0,0,

1430,2,2,5,1,15,2,8,10,39,8,8,0,0,10,11,12,13,12,0,32,8,0,0,2,2,1,1,2,0,0,0,0,0,0,

