Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known, Known St. RG, Known St. RY, Known St. RB, Known St. GY, Known St. GB, Known St. YB, Known St. RGY, Known St. RGB, Known St. RYB, Known St. GYB, Known St. RGYB
10,0,0,0,0,10,0,27,3,10,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

20,0,0,0,0,10,0,27,3,10,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

30,0,0,0,0,10,0,27,3,10,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

40,0,0,0,0,10,0,27,3,10,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

50,0,0,0,0,10,0,27,3,10,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

60,0,0,0,0,12,0,25,3,12,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

70,0,0,0,0,12,0,24,4,12,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

80,0,0,0,0,12,0,24,4,12,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

90,0,0,0,0,13,0,22,5,13,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

100,0,0,0,0,14,0,21,5,14,0,0,0,0,0,10,10,10,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

110,0,0,0,0,15,1,19,5,15,1,1,0,0,0,10,10,10,11,0,39,1,0,0,0,0,0,0,1,0,0,0,0,0,0,

120,0,0,0,0,15,1,19,5,15,1,1,0,0,0,10,10,10,11,0,39,1,0,0,0,0,0,0,1,0,0,0,0,0,0,

130,0,0,0,0,15,1,19,5,15,1,1,0,0,0,10,10,10,11,0,39,1,0,0,0,0,0,0,1,0,0,0,0,0,0,

140,0,0,0,0,16,1,18,5,16,1,1,0,0,0,10,10,10,11,0,39,1,0,0,0,0,0,0,1,0,0,0,0,0,0,

150,0,0,0,0,16,1,18,5,16,1,1,0,0,0,10,10,10,11,0,39,1,0,0,0,0,0,0,1,0,0,0,0,0,0,

160,0,0,0,0,18,1,16,5,18,1,1,0,0,0,10,10,10,11,0,39,1,0,0,0,0,0,0,1,0,0,0,0,0,0,

170,0,0,0,0,18,1,16,5,18,1,1,0,0,0,10,10,10,11,0,39,1,0,0,0,0,0,0,1,0,0,0,0,0,0,

180,0,0,0,0,19,1,15,5,19,1,1,0,0,0,10,10,10,11,0,39,1,0,0,0,0,0,0,1,0,0,0,0,0,0,

190,0,0,0,0,19,1,14,6,19,1,1,0,0,0,10,10,10,11,0,39,1,0,0,0,0,0,0,1,0,0,0,0,0,0,

200,0,0,0,0,19,1,14,6,19,1,1,0,0,0,10,10,10,11,0,39,1,0,0,0,0,0,0,1,0,0,0,0,0,0,

210,0,0,0,0,20,1,13,6,20,1,1,0,0,0,10,10,10,11,0,39,1,0,0,0,0,0,0,1,0,0,0,0,0,0,

220,0,0,0,0,20,1,12,7,20,1,1,0,0,0,10,10,10,11,0,39,1,0,0,0,0,0,0,1,0,0,0,0,0,0,

230,0,0,0,0,20,1,12,7,20,1,1,0,0,0,10,10,10,11,0,39,1,0,0,0,0,0,0,1,0,0,0,0,0,0,

240,0,0,0,0,21,1,11,7,21,1,1,0,0,0,10,10,10,11,0,39,1,0,0,0,0,0,0,1,0,0,0,0,0,0,

250,0,0,0,0,22,1,10,7,22,1,1,0,0,0,10,10,10,11,0,39,1,0,0,0,0,0,0,1,0,0,0,0,0,0,

260,0,0,0,0,23,2,8,7,23,2,2,0,0,0,10,10,10,12,0,38,2,0,0,0,0,0,0,2,0,0,0,0,0,0,

270,0,0,0,0,23,2,7,8,23,2,2,0,0,0,10,10,10,12,0,38,2,0,0,0,0,0,0,2,0,0,0,0,0,0,

280,0,0,0,0,23,2,7,8,23,2,2,0,0,0,10,10,10,12,0,38,2,0,0,0,0,0,0,2,0,0,0,0,0,0,

290,0,0,0,0,24,2,6,8,24,2,2,0,0,0,10,10,10,12,0,38,2,0,0,0,0,0,0,2,0,0,0,0,0,0,

300,0,0,0,0,24,2,6,8,24,2,2,0,0,0,10,10,10,12,0,38,2,0,0,0,0,0,0,2,0,0,0,0,0,0,

310,0,0,0,0,24,2,6,8,24,2,2,0,0,0,10,10,10,12,0,38,2,0,0,0,0,0,0,2,0,0,0,0,0,0,

320,0,0,0,0,25,2,5,8,25,2,2,0,0,0,10,10,10,12,0,38,2,0,0,0,0,0,0,2,0,0,0,0,0,0,

330,0,0,0,0,25,2,5,8,25,2,2,0,0,0,10,10,10,12,0,38,2,0,0,0,0,0,0,2,0,0,0,0,0,0,

340,0,0,0,0,25,2,5,8,25,2,2,0,0,0,10,10,10,12,0,38,2,0,0,0,0,0,0,2,0,0,0,0,0,0,

350,0,0,0,0,25,2,5,8,25,2,2,0,0,0,10,10,10,12,0,38,2,0,0,0,0,0,0,2,0,0,0,0,0,0,

360,0,0,0,0,25,2,5,8,25,2,2,0,0,0,10,10,10,12,0,38,2,0,0,0,0,0,0,2,0,0,0,0,0,0,

370,0,0,0,0,25,2,5,8,25,2,2,0,0,0,10,10,10,12,0,38,2,0,0,0,0,0,0,2,0,0,0,0,0,0,

380,0,0,0,0,25,3,4,8,25,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

390,0,0,0,0,26,3,3,8,26,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

400,0,0,0,0,26,3,3,8,26,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

410,0,0,0,0,27,3,2,8,27,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

420,0,0,0,0,27,3,2,8,27,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

430,0,0,0,0,27,3,2,8,27,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

440,0,0,0,0,27,3,2,8,27,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

450,0,0,0,0,27,3,2,8,27,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

460,0,0,0,0,27,3,2,8,27,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

470,0,0,0,0,27,3,1,9,27,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

480,0,0,0,0,27,3,1,9,27,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

490,0,0,0,0,27,3,1,9,27,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

500,0,0,0,0,27,3,1,9,27,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

510,0,0,0,0,17,3,8,9,27,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

520,0,0,0,0,18,3,9,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

530,0,0,0,0,18,3,10,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

540,0,0,0,0,18,3,10,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

550,0,0,0,0,18,3,10,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

560,0,0,0,0,17,3,11,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

570,0,0,0,0,16,3,12,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

580,0,0,0,0,16,3,12,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

590,0,0,0,0,15,3,12,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

600,0,0,0,0,14,3,14,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

610,0,0,0,0,13,2,14,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

620,0,0,0,0,13,2,16,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

630,0,0,0,0,13,2,16,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

640,0,0,0,0,12,2,17,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

650,0,0,0,0,12,2,17,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

660,0,0,0,0,11,2,18,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

670,0,0,0,0,10,2,19,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

680,0,0,0,0,9,2,20,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

690,0,0,0,0,9,2,20,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

700,0,0,0,0,9,2,20,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

710,0,0,0,0,8,2,21,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

720,0,0,0,0,8,2,21,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

730,0,0,0,0,8,2,21,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

740,0,0,0,0,7,2,22,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

750,0,0,0,0,6,2,22,9,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

760,0,0,0,0,5,1,24,10,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

770,0,1,0,0,5,1,24,10,28,3,3,0,0,0,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

780,0,1,0,0,5,1,24,9,28,3,3,0,0,1,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

790,0,1,0,0,4,1,25,9,28,3,3,0,0,1,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

800,0,1,0,0,4,1,25,9,28,3,3,0,0,1,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

810,0,1,0,0,4,1,25,9,28,3,3,0,0,1,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

820,0,1,0,0,3,1,26,9,28,3,3,0,0,1,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

830,0,1,0,0,3,1,26,9,28,3,3,0,0,1,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

840,0,1,0,0,3,1,26,9,28,3,3,0,0,1,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

850,0,1,0,0,3,1,26,9,28,3,3,0,0,1,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

860,0,1,0,0,3,1,26,9,28,3,3,0,0,1,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

870,0,1,0,0,3,1,26,9,28,3,3,0,0,1,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

880,0,1,0,0,3,0,27,9,28,3,3,0,0,1,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

890,0,1,0,0,2,0,28,9,28,3,3,0,0,1,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

900,0,1,0,0,2,0,28,9,28,3,3,0,0,1,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

910,0,1,0,0,1,0,29,9,28,3,3,0,0,1,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

920,0,1,0,0,1,0,29,9,28,3,3,0,0,1,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

930,0,1,0,0,1,0,29,9,28,3,3,0,0,1,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

940,0,1,0,0,1,0,29,9,28,3,3,0,0,1,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

950,0,1,0,0,1,0,29,9,28,3,3,0,0,1,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

960,0,1,0,0,1,0,29,9,28,3,3,0,0,1,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

970,0,1,0,0,1,0,29,9,28,3,3,0,0,1,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

980,0,1,0,0,1,0,29,9,28,3,3,0,0,1,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

990,0,1,1,0,1,0,29,9,28,3,3,0,0,1,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

1000,0,1,1,0,1,0,29,8,28,3,3,0,0,2,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

1010,0,1,1,0,2,0,28,8,29,3,3,0,0,2,10,10,11,12,0,37,3,0,0,0,0,0,0,2,1,0,0,0,0,0,

