Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known, Known St. RG, Known St. RY, Known St. RB, Known St. GY, Known St. GB, Known St. YB, Known St. RGY, Known St. RGB, Known St. RYB, Known St. GYB, Known St. RGYB
10,0,0,0,0,13,3,22,2,13,3,3,0,0,0,11,11,10,11,0,37,3,0,0,1,0,1,0,0,1,0,0,0,0,0,

20,0,0,0,0,13,3,22,2,13,3,3,0,0,0,11,11,10,11,0,37,3,0,0,1,0,1,0,0,1,0,0,0,0,0,

30,0,0,0,0,13,3,22,2,13,3,3,0,0,0,11,11,10,11,0,37,3,0,0,1,0,1,0,0,1,0,0,0,0,0,

40,0,0,0,0,13,3,22,2,13,3,3,0,0,0,11,11,10,11,0,37,3,0,0,1,0,1,0,0,1,0,0,0,0,0,

50,0,0,0,0,13,3,21,3,13,3,3,0,0,0,11,11,10,11,0,37,3,0,0,1,0,1,0,0,1,0,0,0,0,0,

60,0,0,0,0,13,3,21,3,13,3,3,0,0,0,11,11,10,11,0,37,3,0,0,1,0,1,0,0,1,0,0,0,0,0,

70,0,0,0,0,13,3,21,3,13,3,3,0,0,0,11,11,10,11,0,37,3,0,0,1,0,1,0,0,1,0,0,0,0,0,

80,0,0,0,0,13,3,20,4,13,3,3,0,0,0,11,11,10,11,0,37,3,0,0,1,0,1,0,0,1,0,0,0,0,0,

90,0,0,0,0,13,3,20,4,13,3,3,0,0,0,11,11,10,11,0,37,3,0,0,1,0,1,0,0,1,0,0,0,0,0,

100,0,0,0,0,15,3,18,4,15,3,3,0,0,0,11,11,10,11,0,37,3,0,0,1,0,1,0,0,1,0,0,0,0,0,

110,0,0,0,0,15,3,18,4,15,3,3,0,0,0,11,11,10,11,0,37,3,0,0,1,0,1,0,0,1,0,0,0,0,0,

120,0,0,0,0,16,3,16,5,16,3,3,0,0,0,11,11,10,11,0,37,3,0,0,1,0,1,0,0,1,0,0,0,0,0,

130,0,0,0,0,16,3,16,5,16,3,3,0,0,0,11,11,10,11,0,37,3,0,0,1,0,1,0,0,1,0,0,0,0,0,

140,0,0,0,0,16,3,16,5,16,3,3,0,0,0,11,11,10,11,0,37,3,0,0,1,0,1,0,0,1,0,0,0,0,0,

150,0,0,0,0,16,3,15,6,16,3,3,0,0,0,11,11,10,11,0,37,3,0,0,1,0,1,0,0,1,0,0,0,0,0,

160,0,0,0,0,19,5,10,6,19,5,5,0,0,0,11,11,10,13,0,35,5,0,0,1,2,1,0,0,1,0,0,0,0,0,

170,0,0,0,0,19,5,10,6,19,5,5,0,0,0,11,11,10,13,0,35,5,0,0,1,2,1,0,0,1,0,0,0,0,0,

180,0,0,0,0,19,5,10,6,19,5,5,0,0,0,11,11,10,13,0,35,5,0,0,1,2,1,0,0,1,0,0,0,0,0,

190,0,0,0,0,21,5,8,6,21,5,5,0,0,0,11,11,10,13,0,35,5,0,0,1,2,1,0,0,1,0,0,0,0,0,

200,0,0,0,0,21,5,8,6,21,5,5,0,0,0,11,11,10,13,0,35,5,0,0,1,2,1,0,0,1,0,0,0,0,0,

210,0,0,0,0,21,5,7,7,21,5,5,0,0,0,11,11,10,13,0,35,5,0,0,1,2,1,0,0,1,0,0,0,0,0,

220,0,0,0,0,21,5,7,7,21,5,5,0,0,0,11,11,10,13,0,35,5,0,0,1,2,1,0,0,1,0,0,0,0,0,

230,0,0,0,0,21,5,7,7,21,5,5,0,0,0,11,11,10,13,0,35,5,0,0,1,2,1,0,0,1,0,0,0,0,0,

240,0,0,0,0,22,5,6,7,22,5,5,0,0,0,11,11,10,13,0,35,5,0,0,1,2,1,0,0,1,0,0,0,0,0,

250,0,0,0,0,23,5,5,7,23,5,5,0,0,0,11,11,10,13,0,35,5,0,0,1,2,1,0,0,1,0,0,0,0,0,

260,0,0,0,0,24,5,4,7,24,5,5,0,0,0,11,11,10,13,0,35,5,0,0,1,2,1,0,0,1,0,0,0,0,0,

270,0,0,0,0,25,5,3,7,25,5,5,0,0,0,11,11,10,13,0,35,5,0,0,1,2,1,0,0,1,0,0,0,0,0,

280,0,0,0,0,25,5,3,7,25,5,5,0,0,0,11,11,10,13,0,35,5,0,0,1,2,1,0,0,1,0,0,0,0,0,

290,0,0,0,0,25,5,3,7,25,5,5,0,0,0,11,11,10,13,0,35,5,0,0,1,2,1,0,0,1,0,0,0,0,0,

300,0,0,0,0,25,5,3,7,25,5,5,0,0,0,11,11,10,13,0,35,5,0,0,1,2,1,0,0,1,0,0,0,0,0,

310,0,1,0,0,26,5,2,7,26,5,5,0,0,0,11,11,10,13,0,35,5,0,0,1,2,1,0,0,1,0,0,0,0,0,

320,0,1,0,0,26,5,2,6,26,5,5,0,0,1,11,11,10,13,0,35,5,0,0,1,2,1,0,0,1,0,0,0,0,0,

330,0,1,0,0,26,5,2,6,26,5,5,0,0,1,11,11,10,13,0,35,5,0,0,1,2,1,0,0,1,0,0,0,0,0,

340,0,1,0,0,26,5,2,6,26,5,5,0,0,1,11,11,10,13,0,35,5,0,0,1,2,1,0,0,1,0,0,0,0,0,

350,0,1,0,0,26,5,2,6,26,5,5,0,0,1,11,11,10,13,0,35,5,0,0,1,2,1,0,0,1,0,0,0,0,0,

