Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known, Known St. RG, Known St. RY, Known St. RB, Known St. GY, Known St. GB, Known St. YB, Known St. RGY, Known St. RGB, Known St. RYB, Known St. GYB, Known St. RGYB
10,0,0,0,0,10,4,25,1,10,4,4,0,0,0,12,11,10,11,0,36,4,0,0,0,1,1,1,0,1,0,0,0,0,0,

20,0,0,0,0,10,4,25,1,10,4,4,0,0,0,12,11,10,11,0,36,4,0,0,0,1,1,1,0,1,0,0,0,0,0,

30,0,0,0,0,11,5,23,1,11,5,5,0,0,0,12,11,11,11,0,35,5,0,0,1,1,1,1,0,1,0,0,0,0,0,

40,0,0,0,0,12,5,22,1,12,5,5,0,0,0,12,11,11,11,0,35,5,0,0,1,1,1,1,0,1,0,0,0,0,0,

50,0,0,0,0,12,5,22,1,12,5,5,0,0,0,12,11,11,11,0,35,5,0,0,1,1,1,1,0,1,0,0,0,0,0,

60,0,0,0,0,14,5,20,1,14,5,5,0,0,0,12,11,11,11,0,35,5,0,0,1,1,1,1,0,1,0,0,0,0,0,

70,0,0,0,0,16,7,16,1,16,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

80,0,0,0,0,16,7,16,1,16,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

90,0,0,0,0,17,7,14,2,17,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

100,0,0,0,0,17,7,14,2,17,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

110,0,0,0,0,17,7,14,2,17,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

120,0,0,0,0,18,7,13,2,18,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

130,0,0,0,0,18,7,13,2,18,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

140,0,0,0,0,18,7,13,2,18,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

150,0,0,0,0,18,7,12,3,18,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

160,0,0,0,0,18,7,12,3,18,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

170,0,0,0,0,18,7,12,3,18,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

180,0,0,0,0,18,7,12,3,18,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

190,0,0,0,0,18,7,12,3,18,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

200,0,0,0,0,20,7,10,3,20,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

210,0,0,0,0,20,7,10,3,20,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

220,0,0,0,0,20,7,10,3,20,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

230,0,0,0,0,22,7,8,3,22,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

240,0,0,0,0,22,7,8,3,22,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

250,0,0,0,0,22,7,8,3,22,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

260,0,0,0,0,22,7,8,3,22,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

270,0,0,0,0,23,7,7,3,23,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

280,0,0,0,0,23,7,7,3,23,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

290,0,0,0,0,23,7,7,3,23,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

300,0,0,0,0,23,7,7,3,23,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

310,0,0,0,0,24,7,6,3,24,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

320,0,0,0,0,24,7,6,3,24,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

330,0,0,0,0,24,7,6,3,24,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

340,0,0,0,0,24,7,6,3,24,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

350,0,0,0,0,25,7,5,3,25,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

360,0,0,0,0,25,7,5,3,25,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

370,0,0,0,0,25,7,5,3,25,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

380,0,0,0,0,25,7,5,3,25,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

390,0,0,0,0,25,7,5,3,25,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

400,0,0,0,0,25,7,5,3,25,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

410,0,0,0,0,25,7,5,3,25,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

420,0,0,0,0,25,7,5,3,25,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

430,0,0,0,0,25,7,5,3,25,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

440,0,0,0,0,26,7,4,3,26,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

450,0,0,0,0,27,7,3,3,27,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

460,0,0,0,0,27,7,3,3,27,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

470,0,0,0,0,27,7,3,3,27,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

480,0,0,0,0,27,7,3,3,27,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

490,0,0,0,0,28,7,2,3,28,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

500,0,0,0,0,28,7,2,3,28,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

510,0,0,0,0,18,3,12,7,28,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

520,0,0,0,0,18,3,12,7,28,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

530,0,0,0,0,17,2,13,8,28,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

540,0,0,0,0,16,2,13,8,28,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

550,0,0,0,0,16,2,14,8,28,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

560,0,0,0,0,14,2,16,8,28,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

570,0,0,0,0,13,2,16,8,28,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

580,0,0,0,0,12,0,19,9,28,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

590,0,0,0,0,11,0,20,9,28,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

600,0,0,0,0,11,0,20,9,28,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

610,0,0,0,0,11,0,20,9,28,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

620,0,0,0,0,11,0,20,9,28,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

630,0,0,0,0,10,0,21,9,28,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

640,0,0,0,0,10,0,21,9,28,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

650,0,0,0,0,10,0,21,9,28,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

660,0,0,1,0,10,0,21,9,28,7,7,0,0,0,13,11,11,12,0,33,7,0,0,1,2,1,1,0,2,0,0,0,0,0,

