Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known, Known St. RG, Known St. RY, Known St. RB, Known St. GY, Known St. GB, Known St. YB, Known St. RGY, Known St. RGB, Known St. RYB, Known St. GYB, Known St. RGYB
10,0,0,0,0,9,3,22,6,9,3,3,0,0,0,11,11,10,11,0,37,3,0,0,0,1,2,0,0,0,0,0,0,0,0,

20,0,0,0,0,9,3,22,6,9,3,3,0,0,0,11,11,10,11,0,37,3,0,0,0,1,2,0,0,0,0,0,0,0,0,

30,0,0,0,0,9,3,22,6,9,3,3,0,0,0,11,11,10,11,0,37,3,0,0,0,1,2,0,0,0,0,0,0,0,0,

40,0,0,0,0,9,3,22,6,9,3,3,0,0,0,11,11,10,11,0,37,3,0,0,0,1,2,0,0,0,0,0,0,0,0,

50,0,0,0,0,9,3,22,6,9,3,3,0,0,0,11,11,10,11,0,37,3,0,0,0,1,2,0,0,0,0,0,0,0,0,

60,0,0,0,0,9,3,22,6,9,3,3,0,0,0,11,11,10,11,0,37,3,0,0,0,1,2,0,0,0,0,0,0,0,0,

70,0,0,0,0,9,3,22,6,9,3,3,0,0,0,11,11,10,11,0,37,3,0,0,0,1,2,0,0,0,0,0,0,0,0,

80,0,0,0,0,10,3,21,6,10,3,3,0,0,0,11,11,10,11,0,37,3,0,0,0,1,2,0,0,0,0,0,0,0,0,

90,0,0,0,0,11,3,20,6,11,3,3,0,0,0,11,11,10,11,0,37,3,0,0,0,1,2,0,0,0,0,0,0,0,0,

100,0,0,0,0,13,3,18,6,13,3,3,0,0,0,11,11,10,11,0,37,3,0,0,0,1,2,0,0,0,0,0,0,0,0,

110,0,0,0,0,13,3,18,6,13,3,3,0,0,0,11,11,10,11,0,37,3,0,0,0,1,2,0,0,0,0,0,0,0,0,

120,0,0,0,0,14,3,17,6,14,3,3,0,0,0,11,11,10,11,0,37,3,0,0,0,1,2,0,0,0,0,0,0,0,0,

130,0,0,0,0,15,3,16,6,15,3,3,0,0,0,11,11,10,11,0,37,3,0,0,0,1,2,0,0,0,0,0,0,0,0,

140,0,0,0,0,16,4,14,6,16,4,4,0,0,0,11,11,11,11,0,36,4,0,0,0,1,2,0,0,1,0,0,0,0,0,

150,0,0,0,0,17,4,13,6,17,4,4,0,0,0,11,11,11,11,0,36,4,0,0,0,1,2,0,0,1,0,0,0,0,0,

160,0,0,0,0,17,4,13,6,17,4,4,0,0,0,11,11,11,11,0,36,4,0,0,0,1,2,0,0,1,0,0,0,0,0,

170,0,0,0,0,17,4,13,6,17,4,4,0,0,0,11,11,11,11,0,36,4,0,0,0,1,2,0,0,1,0,0,0,0,0,

180,0,0,0,0,18,4,11,7,18,4,4,0,0,0,11,11,11,11,0,36,4,0,0,0,1,2,0,0,1,0,0,0,0,0,

190,0,0,0,0,18,4,11,7,18,4,4,0,0,0,11,11,11,11,0,36,4,0,0,0,1,2,0,0,1,0,0,0,0,0,

