Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known, Known St. RG, Known St. RY, Known St. RB, Known St. GY, Known St. GB, Known St. YB, Known St. RGY, Known St. RGB, Known St. RYB, Known St. GYB, Known St. RGYB
10,0,0,0,0,12,7,20,1,12,7,7,0,0,0,11,11,12,13,0,33,7,0,0,0,1,1,2,0,3,0,0,0,0,0,

20,0,0,0,0,13,7,19,1,13,7,7,0,0,0,11,11,12,13,0,33,7,0,0,0,1,1,2,0,3,0,0,0,0,0,

30,0,0,0,0,13,7,19,1,13,7,7,0,0,0,11,11,12,13,0,33,7,0,0,0,1,1,2,0,3,0,0,0,0,0,

40,0,0,0,0,15,8,16,1,15,8,8,0,0,0,11,12,12,13,0,32,8,0,0,0,1,2,2,0,3,0,0,0,0,0,

50,0,0,0,0,15,8,16,1,15,8,8,0,0,0,11,12,12,13,0,32,8,0,0,0,1,2,2,0,3,0,0,0,0,0,

60,0,0,0,0,16,8,15,1,16,8,8,0,0,0,11,12,12,13,0,32,8,0,0,0,1,2,2,0,3,0,0,0,0,0,

70,0,0,0,0,17,8,14,1,17,8,8,0,0,0,11,12,12,13,0,32,8,0,0,0,1,2,2,0,3,0,0,0,0,0,

80,0,0,0,0,17,8,14,1,17,8,8,0,0,0,11,12,12,13,0,32,8,0,0,0,1,2,2,0,3,0,0,0,0,0,

90,0,0,0,0,17,8,13,2,17,8,8,0,0,0,11,12,12,13,0,32,8,0,0,0,1,2,2,0,3,0,0,0,0,0,

100,0,0,0,0,19,8,11,2,19,8,8,0,0,0,11,12,12,13,0,32,8,0,0,0,1,2,2,0,3,0,0,0,0,0,

110,0,0,0,0,20,9,9,2,20,9,9,0,0,0,12,12,12,13,0,31,9,0,0,0,1,3,2,0,3,0,0,0,0,0,

120,0,0,0,0,20,9,9,2,20,9,9,0,0,0,12,12,12,13,0,31,9,0,0,0,1,3,2,0,3,0,0,0,0,0,

130,0,0,0,0,21,9,8,2,21,9,9,0,0,0,12,12,12,13,0,31,9,0,0,0,1,3,2,0,3,0,0,0,0,0,

140,0,0,0,0,21,9,8,2,21,9,9,0,0,0,12,12,12,13,0,31,9,0,0,0,1,3,2,0,3,0,0,0,0,0,

150,0,0,0,0,21,9,8,2,21,9,9,0,0,0,12,12,12,13,0,31,9,0,0,0,1,3,2,0,3,0,0,0,0,0,

160,0,0,0,0,21,9,8,2,21,9,9,0,0,0,12,12,12,13,0,31,9,0,0,0,1,3,2,0,3,0,0,0,0,0,

170,0,0,0,0,21,9,8,2,21,9,9,0,0,0,12,12,12,13,0,31,9,0,0,0,1,3,2,0,3,0,0,0,0,0,

180,0,0,0,0,24,9,5,2,24,9,9,0,0,0,12,12,12,13,0,31,9,0,0,0,1,3,2,0,3,0,0,0,0,0,

190,0,0,0,0,24,9,4,3,24,9,9,0,0,0,12,12,12,13,0,31,9,0,0,0,1,3,2,0,3,0,0,0,0,0,

200,0,0,0,0,24,9,4,3,24,9,9,0,0,0,12,12,12,13,0,31,9,0,0,0,1,3,2,0,3,0,0,0,0,0,

210,0,0,0,0,24,9,4,3,24,9,9,0,0,0,12,12,12,13,0,31,9,0,0,0,1,3,2,0,3,0,0,0,0,0,

220,0,0,0,0,26,9,2,3,26,9,9,0,0,0,12,12,12,13,0,31,9,0,0,0,1,3,2,0,3,0,0,0,0,0,

230,0,0,0,0,26,9,2,3,26,9,9,0,0,0,12,12,12,13,0,31,9,0,0,0,1,3,2,0,3,0,0,0,0,0,

240,0,0,0,0,26,9,2,3,26,9,9,0,0,0,12,12,12,13,0,31,9,0,0,0,1,3,2,0,3,0,0,0,0,0,

