Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known
100,0,0,0,0,6,2,41,1,6,2,2,0,0,0,13,14,14,13,1,46,2,0,1,

200,0,0,0,0,13,8,24,5,13,8,8,0,0,0,15,14,16,15,0,42,7,0,1,

300,0,0,0,0,15,9,20,6,15,9,9,0,0,0,16,14,16,15,0,41,8,0,1,
400,0,0,0,0,17,10,17,6,17,10,10,0,0,0,16,14,16,16,0,40,9,0,1,

500,0,1,0,0,21,11,12,5,21,11,11,0,0,1,16,14,17,16,0,39,10,0,1,
600,0,1,0,0,16,9,15,9,22,11,11,0,0,1,16,14,17,16,0,39,10,0,1,

700,0,1,0,0,12,4,21,12,25,12,12,0,0,1,16,14,18,16,0,38,11,0,1,
800,1,1,0,0,10,4,23,12,25,13,13,0,0,1,17,14,18,16,0,37,12,0,1,

900,1,1,0,0,8,3,25,12,25,13,13,0,0,2,17,14,18,16,0,37,12,0,1,
1000,1,1,0,0,4,2,30,13,25,13,13,0,0,2,17,14,18,16,0,37,12,0,1,

1100,1,1,0,2,3,2,31,12,25,13,13,0,0,3,17,14,18,16,0,37,12,0,1,
1200,2,1,0,2,2,2,29,14,27,14,14,0,0,5,17,14,18,17,0,36,13,0,1,

1300,2,1,0,2,6,3,24,14,31,16,16,0,0,5,18,15,18,17,0,34,15,0,1,
1400,3,2,0,3,7,4,23,12,32,17,17,0,0,7,18,15,19,17,0,33,16,0,1,

1500,4,2,1,3,8,4,22,9,33,17,17,0,0,10,18,15,19,17,0,33,16,0,1,
