Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known

5100,10,13,11,16,5,4,24,9,49,29,29,0,0,50,28,34,33,34,2,17,6,0,25,

5200,10,13,12,16,4,5,23,11,50,30,30,0,0,51,29,34,33,34,2,16,7,0,25,
5300,11,13,13,17,2,4,27,10,50,30,30,0,0,52,29,34,33,34,2,16,7,0,25,

5400,11,14,13,17,2,2,28,8,50,30,30,0,0,55,29,34,33,34,2,16,7,0,25,
5500,11,14,13,17,2,2,32,8,50,30,30,0,0,55,29,34,33,34,2,16,7,0,25,

5600,11,14,13,17,1,1,34,9,50,30,30,0,0,55,29,34,33,34,2,16,7,0,25,
5700,11,14,13,17,1,0,34,11,51,30,30,0,0,55,29,34,33,34,2,16,7,0,25,

5800,11,15,14,17,2,0,33,10,52,30,30,0,0,57,29,34,33,34,2,16,7,0,25,
5900,11,15,14,17,2,0,36,10,52,30,30,0,0,57,29,34,33,34,2,16,7,0,25,

6000,11,17,14,17,4,1,33,8,54,31,31,0,0,59,29,34,34,34,2,15,8,0,25,
6100,12,17,14,17,5,1,32,7,55,31,31,0,0,60,29,34,34,34,2,15,8,0,25,

6200,12,17,14,17,4,2,32,7,55,32,32,0,0,60,29,35,34,34,2,14,9,0,25,
6300,12,17,16,17,3,2,32,8,55,32,32,0,0,61,29,35,34,34,2,14,9,0,25,

6400,13,18,16,17,4,3,31,5,56,33,33,0,0,64,29,36,34,34,2,13,10,0,25,

6500,13,19,16,17,2,2,32,8,56,33,33,0,0,65,29,36,34,34,2,13,10,0,25,
6600,13,19,16,17,1,2,32,10,56,33,33,0,0,65,29,36,34,34,2,13,10,0,25,

6700,14,19,16,17,1,1,33,9,56,33,33,0,0,66,29,36,34,34,2,13,10,0,25,
6800,14,19,16,18,1,1,34,8,56,33,33,0,0,67,29,36,34,34,2,13,10,0,25,

6900,14,19,16,18,1,1,35,10,57,34,34,0,0,67,29,36,35,34,2,12,11,0,25,
7000,14,20,16,18,1,1,36,9,57,34,34,0,0,68,29,36,35,34,2,12,11,0,25,

7100,14,20,16,18,1,1,36,9,57,34,34,0,0,68,29,36,35,34,2,12,11,0,25,
7200,14,20,16,20,2,1,34,9,58,34,34,0,0,70,29,36,35,34,2,12,11,0,25,

7300,15,20,17,20,2,1,35,7,58,34,34,0,0,72,29,36,35,34,2,12,11,0,25,
7400,15,20,18,20,1,0,35,8,58,34,34,0,0,73,29,36,35,34,2,12,11,0,25,

7500,15,21,18,20,1,1,34,8,58,35,35,0,0,74,29,36,35,35,2,11,12,0,25,
7600,16,22,18,20,1,1,34,7,58,35,35,0,0,75,29,36,35,35,2,11,12,0,25,

7700,16,22,18,20,2,3,32,7,60,37,37,0,0,76,30,36,35,36,2,9,14,0,25,

7800,16,22,18,20,2,3,34,7,60,37,37,0,0,76,30,36,35,36,2,9,14,0,25,
7900,16,22,19,20,3,3,33,8,61,37,37,0,0,76,30,36,35,36,2,9,14,0,25,

8000,17,22,19,20,4,3,32,7,62,38,38,0,0,78,31,36,35,36,2,8,15,0,25,
8100,17,22,19,20,4,3,32,8,62,38,38,0,0,78,31,36,35,36,2,8,15,0,25,

8200,17,22,20,20,3,2,34,8,63,39,39,0,0,79,31,37,35,36,2,7,16,0,25,

8300,17,23,20,20,3,3,33,7,63,40,40,0,0,80,32,37,35,36,2,6,17,0,25,
8400,17,23,21,20,2,3,32,8,63,40,40,0,0,81,32,37,35,36,2,6,17,0,25,

8500,17,23,21,21,1,2,34,9,63,40,40,0,0,82,32,37,35,36,2,6,17,0,25,

8600,17,23,21,21,1,2,34,9,63,40,40,0,0,82,32,37,35,36,2,6,17,0,25,
8700,17,23,22,21,0,1,36,9,63,40,40,0,0,83,32,37,35,36,2,6,17,0,25,

8800,18,23,22,21,0,0,38,8,63,40,40,0,0,84,32,37,35,36,2,6,17,0,25,
8900,18,23,22,21,0,0,39,8,63,40,40,0,0,84,32,37,35,36,2,6,17,0,25,

9000,18,24,22,21,0,0,41,7,63,40,40,0,0,85,32,37,35,36,2,6,17,0,25,
