Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known
5900,15,12,12,13,3,3,31,9,52,33,33,0,0,52,32,34,34,33,0,17,8,0,25,

6000,15,12,13,14,2,2,32,8,52,33,33,0,0,54,32,34,34,33,0,17,8,0,25,
6100,15,13,13,14,3,2,32,7,53,33,33,0,0,55,32,34,34,33,0,17,8,0,25,

6200,15,14,13,14,2,2,33,7,53,33,33,0,0,56,32,34,34,33,0,17,8,0,25,
6300,15,14,13,14,2,1,33,8,54,33,33,0,0,56,32,34,34,33,0,17,8,0,25,

6400,15,14,14,14,2,0,35,8,54,33,33,0,0,57,32,34,34,33,0,17,8,0,25,
6500,15,15,16,14,2,0,37,7,54,33,33,0,0,58,32,34,34,33,0,17,8,0,25,

6600,15,15,16,14,2,0,38,6,55,33,33,0,0,59,32,34,34,33,0,17,8,0,25,
6700,15,15,16,15,2,0,39,5,55,33,33,0,0,60,32,34,34,33,0,17,8,0,25,

6800,15,15,16,15,1,0,40,4,55,33,33,0,0,61,32,34,34,33,0,17,8,0,25,
6900,15,15,17,15,1,1,39,4,55,34,34,0,0,62,32,34,35,33,0,16,9,0,25,

7000,15,15,17,15,1,1,39,5,55,34,34,0,0,62,32,34,35,33,0,16,9,0,25,
7100,15,15,18,15,0,1,40,6,55,34,34,0,0,62,32,34,35,33,0,16,9,0,25,

7200,16,15,19,15,1,1,40,5,56,34,34,0,0,63,32,34,35,33,0,16,9,0,25,
7300,16,15,19,15,1,2,39,4,56,35,35,0,0,65,32,34,36,33,0,15,10,0,25,

7400,16,15,19,15,2,2,38,5,57,36,36,0,0,65,33,34,36,33,0,14,11,0,25,

7500,16,16,19,15,2,2,38,4,57,36,36,0,0,66,33,34,36,33,0,14,11,0,25,
7600,16,16,19,15,2,2,37,5,57,36,36,0,0,66,33,34,36,33,0,14,11,0,25,

7700,16,16,19,15,1,2,38,6,57,36,36,0,0,66,33,34,36,33,0,14,11,0,25,
7800,16,16,19,15,2,2,38,7,58,37,37,0,0,66,33,35,36,33,0,13,12,0,25,

7900,16,16,19,15,1,1,38,9,58,37,37,0,0,66,33,35,36,33,0,13,12,0,25,

8000,16,16,19,15,2,2,37,9,59,38,38,0,0,66,33,35,37,33,0,12,13,0,25,
8100,19,16,20,15,2,2,36,7,59,38,38,0,0,69,33,35,37,33,0,12,13,0,25,

8200,19,16,20,15,3,2,35,7,60,38,38,0,0,69,33,35,37,33,0,12,13,0,25,
8300,19,16,20,15,2,2,35,8,60,39,39,0,0,69,33,35,37,34,0,11,14,0,25,

8400,19,16,20,15,2,2,34,9,60,39,39,0,0,69,33,35,37,34,0,11,14,0,25,
8500,20,17,22,15,1,1,35,6,60,39,39,0,0,73,33,35,37,34,0,11,14,0,25,

8600,21,17,22,15,1,1,36,7,60,39,39,0,0,74,33,35,37,34,0,11,14,0,25,
8700,21,18,22,16,0,1,35,8,60,39,39,0,0,75,33,35,37,34,0,11,14,0,25,

8800,21,18,22,16,0,0,35,9,60,39,39,0,0,75,33,35,37,34,0,11,14,0,25,

8900,21,18,22,16,0,0,35,9,60,39,39,0,0,75,33,35,37,34,0,11,14,0,25,
9000,21,18,22,16,0,0,38,9,60,39,39,0,0,76,33,35,37,34,0,11,14,0,25,

9100,21,18,22,16,0,0,39,8,60,39,39,0,0,77,33,35,37,34,0,11,14,0,25,
9200,21,18,23,16,1,0,39,7,61,39,39,0,0,78,33,35,37,34,0,11,14,0,25,

9300,21,18,23,16,1,0,38,8,61,39,39,0,0,78,33,35,37,34,0,11,14,0,25,
9400,21,18,23,16,1,0,38,8,61,39,39,0,0,78,33,35,37,34,0,11,14,0,25,

9500,21,19,23,16,1,1,38,8,61,40,40,0,0,78,33,35,37,35,0,10,15,0,25,
9600,21,20,23,16,2,1,37,7,62,40,40,0,0,80,33,35,37,35,0,10,15,0,25,

9700,21,20,23,17,2,1,38,6,63,40,40,0,0,81,33,35,37,35,0,10,15,0,25,
9800,21,21,23,18,2,1,37,5,63,40,40,0,0,83,33,35,37,35,0,10,15,0,25,

9900,21,21,23,18,2,1,37,5,63,40,40,0,0,83,33,35,37,35,0,10,15,0,25,
10000,21,21,23,19,3,0,37,4,64,40,40,0,0,84,33,35,37,35,0,10,15,0,25,

10100,21,21,23,20,2,0,39,4,64,40,40,0,0,85,33,35,37,35,0,10,15,0,25,
10200,21,22,23,20,1,0,41,3,64,40,40,0,0,86,33,35,37,35,0,10,15,0,25,

10300,21,22,23,21,1,0,43,2,64,40,40,0,0,87,33,35,37,35,0,10,15,0,25,
10400,21,22,23,21,1,0,41,4,64,40,40,0,0,87,33,35,37,35,0,10,15,0,25,

10500,21,22,23,21,0,0,43,4,64,40,40,0,0,87,33,35,37,35,0,10,15,0,25,
10600,21,22,23,21,0,0,44,4,64,40,40,0,0,87,33,35,37,35,0,10,15,0,25,

10700,21,22,23,22,1,0,43,4,65,40,40,0,0,88,33,35,37,35,0,10,15,0,25,
10800,21,22,24,22,2,0,43,3,66,40,40,0,0,89,33,35,37,35,0,10,15,0,25,

10900,21,22,24,22,2,0,43,3,66,40,40,0,0,89,33,35,37,35,0,10,15,0,25,
11000,21,22,24,22,2,0,43,3,66,40,40,0,0,89,33,35,37,35,0,10,15,0,25,

11100,21,22,24,23,3,1,41,2,67,41,41,0,0,90,33,35,37,36,0,9,16,0,25,

11200,21,22,24,23,2,1,43,2,67,41,41,0,0,90,33,35,37,36,0,9,16,0,25,
11300,22,22,24,23,1,1,45,1,67,41,41,0,0,91,33,35,37,36,0,9,16,0,25,

11400,22,22,24,23,1,1,44,2,67,41,41,0,0,91,33,35,37,36,0,9,16,0,25,
11500,22,22,24,23,1,1,44,2,67,41,41,0,0,91,33,35,37,36,0,9,16,0,25,

11600,22,22,24,23,0,0,46,3,67,41,41,0,0,91,33,35,37,36,0,9,16,0,25,
11700,22,22,24,23,0,0,46,3,67,41,41,0,0,91,33,35,37,36,0,9,16,0,25,

11800,22,23,24,23,0,0,47,2,67,41,41,0,0,92,33,35,37,36,0,9,16,0,25,
11900,22,23,24,23,0,0,47,2,67,41,41,0,0,92,33,35,37,36,0,9,16,0,25,

12000,22,23,24,24,0,0,48,1,67,41,41,0,0,93,33,35,37,36,0,9,16,0,25,
12100,22,23,24,24,0,0,48,1,67,41,41,0,0,93,33,35,37,36,0,9,16,0,25,

12200,22,23,24,24,0,0,47,2,67,41,41,0,0,93,33,35,37,36,0,9,16,0,25,
12300,22,23,24,24,0,0,48,2,67,41,41,0,0,93,33,35,37,36,0,9,16,0,25,

12400,22,24,24,24,0,0,48,1,67,41,41,0,0,94,33,35,37,36,0,9,16,0,25,
12500,22,24,24,24,1,0,47,1,68,41,41,0,0,94,33,35,37,36,0,9,16,0,25,

12600,22,24,24,24,1,0,47,1,68,41,41,0,0,94,33,35,37,36,0,9,16,0,25,
12700,22,24,24,24,1,0,47,1,68,41,41,0,0,94,33,35,37,36,0,9,16,0,25,

12800,22,24,24,24,1,0,46,2,68,41,41,0,0,94,33,35,37,36,0,9,16,0,25,

