Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known
600,1,1,0,0,15,7,19,7,20,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
610,1,1,0,0,15,7,18,8,20,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
620,1,1,0,0,15,7,18,8,20,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
630,1,1,0,0,16,7,17,8,21,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
640,1,1,0,0,17,7,16,8,22,10,10,0,0,2,14,14,17,17,1,38,10,0,1,

650,1,1,0,0,17,7,16,8,22,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
660,1,1,0,0,17,7,16,8,22,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
670,1,1,0,0,17,6,16,9,23,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
680,1,1,0,0,13,5,19,11,23,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
690,1,1,0,0,13,5,19,11,23,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
700,1,1,0,0,13,5,19,11,23,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
710,1,1,0,0,12,5,20,11,23,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
720,1,1,0,0,12,5,20,11,23,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
730,1,1,0,0,12,5,20,11,23,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
740,1,1,0,0,11,4,22,11,23,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
750,1,1,0,0,11,4,22,11,23,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
760,1,1,0,0,10,4,23,11,23,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
770,1,1,0,0,10,4,23,11,23,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
780,1,1,0,0,10,4,23,11,23,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
790,1,1,0,0,10,4,23,11,23,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
800,1,1,0,0,10,4,23,11,23,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
810,1,1,0,0,10,4,23,11,24,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
820,1,1,0,0,11,4,22,11,25,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
830,1,1,0,0,11,3,23,11,25,10,10,0,0,2,14,14,17,17,1,38,10,0,1,
840,1,1,0,0,11,3,23,11,25,10,10,0,0,2,14,14,17,17,1,38,10,0,1,

